# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.55207       	p_rgh         	1.725366e+03	(2.981275e-02 1.409820e-02 1.100000e-02)	1	7.070439e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55207       	omega         	1.326668e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55245       	U             	(-6.217694e+00 -1.415200e-02 -3.674506e-27)	(3.007391e-02 1.322579e-02 1.100000e-02)	1	(1.165625e+01 7.716480e-01 2.575906e-27)	(8.957020e-03 1.838875e-02 1.100000e-02)	0
1.55245       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.552552e+01	(2.645949e-02 1.549597e-02 1.100000e-02)	1
1.55245       	p_rgh         	1.714749e+03	(2.922342e-02 1.391605e-02 1.100000e-02)	1	7.068385e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55245       	omega         	1.327191e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55283       	U             	(-4.343247e+00 -1.009429e+00 -6.291812e-27)	(3.038122e-02 1.355390e-02 1.100000e-02)	1	(1.148607e+01 9.191189e-01 1.582044e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.55283       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.305442e+01	(2.565306e-02 1.581620e-02 1.100000e-02)	1
1.55283       	p_rgh         	1.714625e+03	(2.921366e-02 1.365413e-02 1.100000e-02)	1	7.065425e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55283       	omega         	1.327758e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55321       	U             	(-1.084251e+00 8.668687e-02 -2.881700e-28)	(1.330036e-02 1.513789e-02 1.100000e-02)	0	(1.094202e+01 3.016998e+00 5.033421e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.55321       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.630607e+01	(2.304088e-02 1.648249e-02 1.100000e-02)	1
1.55321       	p_rgh         	1.707082e+03	(3.009130e-02 1.369387e-02 1.100000e-02)	1	7.062508e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55321       	omega         	1.328368e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55359       	U             	(-2.964475e+00 -2.654445e-01 -3.643758e-27)	(3.186967e-02 1.326968e-02 1.100000e-02)	1	(1.087522e+01 3.008781e+00 4.998134e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.55359       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.758454e+01	(2.177876e-02 1.663321e-02 1.100000e-02)	1
1.55359       	p_rgh         	1.694392e+03	(3.159743e-02 1.409986e-02 1.100000e-02)	1	7.059432e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55359       	omega         	1.329024e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55397       	U             	(-1.126610e+00 4.423228e-02 -2.217165e-27)	(1.632474e-02 1.585275e-02 1.100000e-02)	0	(1.143313e+01 8.441908e-01 2.182951e-27)	(8.957020e-03 1.838875e-02 1.100000e-02)	0
1.55397       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273374e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55397       	p_rgh         	1.682818e+03	(3.282596e-02 1.429876e-02 1.100000e-02)	1	7.056122e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55397       	omega         	1.329721e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55435       	U             	(-8.953912e-01 3.945219e-02 -1.014139e-26)	(7.420919e-03 1.581542e-02 1.100000e-02)	0	(1.088809e+01 3.011138e+00 5.005465e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
